date,description,amount,category,source
2025-01-02,Monthly Salary,5500.00,SALARY,BANK_TRANSFER
2025-01-03,Grocery shopping at Costco,-180.75,GROCERIES,CREDIT_CARD
2025-01-05,Apartment Rent,-1600.00,RENT,BANK_TRANSFER
2025-01-07,Electricity Bill,-95.25,UTILITIES,ALIPAY
2025-01-08,Subway Monthly Pass,-110.00,TRANSPORT,OCTOPUS
2025-01-10,Movie Night,-55.00,ENTERTAINMENT,WECHAT_PAY
2025-01-12,Dinner at Japanese Restaurant,-120.80,DINING_OUT,CREDIT_CARD
2025-01-15,New Clothes Shopping,-250.00,SHOPPING,ALIPAY
2025-01-18,Doctor Visit,-180.00,HEALTHCARE,WECHAT_PAY
2025-01-20,Online Course Payment,-350.00,EDUCATION,CREDIT_CARD
2025-01-22,Car Insurance,-130.00,INSURANCE,BANK_TRANSFER
2025-01-25,Stock Dividend,280.00,INVESTMENT,BANK_TRANSFER
2025-01-28,Birthday Gift from Friend,300.00,GIFT_RECEIVED,WECHAT_PAY
2025-01-30,Charity Donation,-60.00,GIFT_GIVEN,ALIPAY
2025-02-01,Monthly Salary,5500.00,SALARY,BANK_TRANSFER
2025-02-03,Grocery shopping at Whole Foods,-150.50,GROCERIES,CREDIT_CARD
2025-02-05,Apartment Rent,-1600.00,RENT,BANK_TRANSFER
2025-02-07,Water Bill,-65.50,UTILITIES,ALIPAY
2025-02-09,Bus Pass,-90.00,TRANSPORT,OCTOPUS
2025-02-11,Concert Tickets,-200.00,ENTERTAINMENT,WECHAT_PAY
2025-02-13,Dinner at French Restaurant,-150.00,DINING_OUT,CREDIT_CARD
2025-02-15,Electronics Shopping,-800.00,SHOPPING,ALIPAY
2025-02-17,Dental Checkup,-200.00,HEALTHCARE,WECHAT_PAY
2025-02-19,Language Course,-400.00,EDUCATION,CREDIT_CARD
2025-02-21,Health Insurance,-150.00,INSURANCE,BANK_TRANSFER
2025-02-23,Bond Interest,150.00,INVESTMENT,BANK_TRANSFER
2025-02-25,Wedding Gift,-200.00,GIFT_GIVEN,ALIPAY
2025-02-27,Freelance Work Income,1200.00,OTHER_INCOME,CASH
2025-03-01,Monthly Salary,5500.00,SALARY,BANK_TRANSFER
2025-03-03,Grocery shopping at Trader Joe's,-130.25,GROCERIES,CREDIT_CARD
2025-03-05,Apartment Rent,-1600.00,RENT,BANK_TRANSFER
2025-03-07,Gas Bill,-75.00,UTILITIES,ALIPAY
2025-03-09,Taxi Ride,-45.00,TRANSPORT,WECHAT_PAY
2025-03-11,Amusement Park,-180.00,ENTERTAINMENT,CREDIT_CARD
2025-03-13,Lunch at Cafe,-35.50,DINING_OUT,ALIPAY
2025-03-15,Furniture Shopping,-1200.00,SHOPPING,CREDIT_CARD
2025-03-17,Prescription Medicine,-85.00,HEALTHCARE,WECHAT_PAY
2025-03-19,Professional Certification,-600.00,EDUCATION,CREDIT_CARD
2025-03-21,Life Insurance,-200.00,INSURANCE,BANK_TRANSFER
2025-03-23,Mutual Fund Dividend,320.00,INVESTMENT,BANK_TRANSFER
2025-03-25,Anniversary Gift,-150.00,GIFT_GIVEN,ALIPAY
2025-03-27,Part-time Teaching Income,900.00,OTHER_INCOME,CASH
2025-03-29,Office Supplies,-45.75,OTHER_EXPENSE,CREDIT_CARD
2025-03-31,Internet Bill,-80.00,UTILITIES,ALIPAY
2025-04-02,Monthly Salary,5500.00,SALARY,BANK_TRANSFER
2025-04-04,Grocery shopping at Safeway,-140.50,GROCERIES,CREDIT_CARD
2025-04-06,Apartment Rent,-1600.00,RENT,BANK_TRANSFER
2025-04-08,Phone Bill,-65.00,UTILITIES,ALIPAY
2025-04-10,Train Ticket,-75.00,TRANSPORT,OCTOPUS
2025-04-12,Bowling Night,-60.00,ENTERTAINMENT,WECHAT_PAY 
